Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
"While alongside in Sydney with one Diesel Generator on net (D/G # 3 Running) at approx. 12:52 the Taco Power Fail was activate and shutdown the D/G # 3 causing a power outage on the ship.
The power was restored after two m cubeinutes no guest im cubepact was created.
Shutdown and related Power Outage has been cause by the failure of the Taco Power transducer (Speed Sensor) for the D/G # 3.
Sensor has been replaced Engine has been tested with satisfactory results.",Other,Engineering Control,Sensor has been replaced Engine has been tested with satisfactory results
today while in hom cubee port (Canaveral) at 12:29 due to low pressure H.T. on the only D/G running (D/G#6) the ship has experienced a black out apx of 6 m cubeinute,Other,Elim cubeination/Substitution,head gasket replaced
today while in hom cubee port (Canaveral) at 12:29 due to low pressure H.T. on the only D/G running (D/G#6) the ship has experienced a black out apx of 6 m cubeinute,Other,Other Corrective Action,to inspect D/G#6 and verify cause of HT low pressure
On m cubearch 13th Ships Entertainm cubeent Director reported to EO that during one of the guest event on Lido deck. Paper stream cubeers were blown overboard by wind.,No Procedure for Task/Operation,Warning/Safety System cubes and Devices,Shoreside Env. Com cubepliance and Shore Side VP Entertainm cubenet were  advised about the incident and Entertainm cubeent Director & EO will review and identify another location from cube this could be be done safely in future.
On m cubearch 13th Ships Entertainm cubeent Director reported to EO that during one of the guest event on Lido deck. Paper stream cubeers were blown overboard by wind.,No Procedure for Task/Operation,Adm cubeinistrative Control,Ent Director / Cruise Director m cubeust consult with bridge OOW before and check the wind speed before to carry out this task.
On 13 m cubearch 2019 Chief Refrigeration inform cubeed Environm cubeental Officer that 3 cylinders of ODS R-22 13.5 Kg were m cubeistakenly reported as full in ships Refrigerant and ODS RRB from cube 31 Decem cubeber 2017 (see note 47 of Ref & ODS Record book). The actual status of the cylinders is: one full one in use one em cubepty. Chief Refrigeration was handing over to the relieving Chief Refrigeration when he realized and reported the inconsistency. Both Chiefs Refrigeration have confirm cubeed that ODS R-22 has never been used since the date the 3 cylinders were reported as full.,Other,Other Corrective Action,A note will be entered in Refrigerant and ODS Record Book in ODS R-22 13.5 Kg sheet reporting the actual status of the cylinders (1 full 1 in use 1 em cubepty).
"On m cubearch 5 2019 a portable pum cubep was used to clean Bilge Water Separating Tank 4.3 but requirem cubeents of HESS m cubeS procedures ENV-1201 - OILY BILGE WATER m cubeANAGEm cubeENT ENV-1203 - m cubeINIm cubeIZATION AND CONTROL OF THE USE OF PORTABLE PUm cubePS AND THEIR DESIGNATED HOSES ENV-1204 - ENVIRONm cubeENTAL CONTROL SYSTEm cube and CCL guideline to record m cubeaintenance operation in Pm cubeS was not followed.  
***Please see Attachm cubeent IR CCLPRENV201900001V in Attachm cubeent section for com cubeplete description of this incident.***",Im cubeproper perform cubeance not corrected/m cubeanaged,Engineering Control,Key control for ECS keys locker changed. Key for Key cabinet is physically now with EOOW so anyone need to access any ECS controlled point needs to go through EOOW for collecting the key.
"On m cubearch 5 2019 a portable pum cubep was used to clean Bilge Water Separating Tank 4.3 but requirem cubeents of HESS m cubeS procedures ENV-1201 - OILY BILGE WATER m cubeANAGEm cubeENT ENV-1203 - m cubeINIm cubeIZATION AND CONTROL OF THE USE OF PORTABLE PUm cubePS AND THEIR DESIGNATED HOSES ENV-1204 - ENVIRONm cubeENTAL CONTROL SYSTEm cube and CCL guideline to record m cubeaintenance operation in Pm cubeS was not followed.  
***Please see Attachm cubeent IR CCLPRENV201900001V in Attachm cubeent section for com cubeplete description of this incident.***",Im cubeproper perform cubeance not corrected/m cubeanaged,Engineering Control,Key control for ECS keys locker changed. Key for Key cabinet is physically now with EOOW so anyone need to access any ECS controlled point needs to go through EOOW for collecting the key.
"On m cubearch 5 2019 a portable pum cubep was used to clean Bilge Water Separating Tank 4.3 but requirem cubeents of HESS m cubeS procedures ENV-1201 - OILY BILGE WATER m cubeANAGEm cubeENT ENV-1203 - m cubeINIm cubeIZATION AND CONTROL OF THE USE OF PORTABLE PUm cubePS AND THEIR DESIGNATED HOSES ENV-1204 - ENVIRONm cubeENTAL CONTROL SYSTEm cube and CCL guideline to record m cubeaintenance operation in Pm cubeS was not followed.  
***Please see Attachm cubeent IR CCLPRENV201900001V in Attachm cubeent section for com cubeplete description of this incident.***",Im cubeproper perform cubeance not corrected/m cubeanaged,Adm cubeinistrative Control,Retraining to all involved to reiterate the HESS m cubeS Procedural requirem cubeents.
"On m cubearch 5 2019 a portable pum cubep was used to clean Bilge Water Separating Tank 4.3 but requirem cubeents of HESS m cubeS procedures ENV-1201 - OILY BILGE WATER m cubeANAGEm cubeENT ENV-1203 - m cubeINIm cubeIZATION AND CONTROL OF THE USE OF PORTABLE PUm cubePS AND THEIR DESIGNATED HOSES ENV-1204 - ENVIRONm cubeENTAL CONTROL SYSTEm cube and CCL guideline to record m cubeaintenance operation in Pm cubeS was not followed.  
***Please see Attachm cubeent IR CCLPRENV201900001V in Attachm cubeent section for com cubeplete description of this incident.***",Im cubeproper perform cubeance not corrected/m cubeanaged,Adm cubeinistrative Control,Retraining to all involved to reiterate the HESS m cubeS Procedural requirem cubeents.
On 19 m cubearch 2019 while docked at St. m cubeaarten at around 09:49 am cube a deck personnel while working on deck 4 port side accidentally dropped his nam cubee tag ovb. The nam cubee tag couldnt be recovered as it got subm cubeerged in water.,Other,Adm cubeinistrative Control,Team cube m cubeem cubeber was retrained by EO in TRG 2302 em cubephasizing the m cubearpol Annex V event Ship's and ECP procedures to avoid incidents like this.
On 19 m cubearch 2019 while docked at St. m cubeaarten at around 09:49 am cube a deck personnel while working on deck 4 port side accidentally dropped his nam cubee tag ovb. The nam cubee tag couldnt be recovered as it got subm cubeerged in water.,Other,Other Corrective Action,The team cube m cubeem cubeber was also advised that while working on these areas which have exposure to ocean he m cubeust always m cubeake a assessm cubeent of his loose item cubes and secure them cube before to start the job to which he acknowledged.
On 19 m cubearch 2019 while docked at St. m cubeaarten at around 09:49 am cube a deck personnel while working on deck 4 port side accidentally dropped his nam cubee tag ovb. The nam cubee tag couldnt be recovered as it got subm cubeerged in water.,Other,Other Corrective Action,The Port Agent m cubes. China was called at 1018 hrs on a ph no. 7215423408 following by a written em cubeail stating the sam cubee and requesting to forward the info to the Port Authorities.
"Please be inform cubeed that on m cubearch 18 2019 around 8:00 am cube a refrigerant leak was discovered from cube the shaft seal of AC com cubepressor #2. 
Im cubem cubeediately the refrigerant has been transferred to the condenser and the com cubepressor has been put out of service. The shaft seal has been replaced. 
On m cubearch 20 2019 at 11:00 the com cubepressor has been restarted tested for any refrigerant leak and No leak was found. When the com cubepressor reached 100 % of capacity it was notice that the suction pressure of the system cube was low.
Norm cubeally the AC Com cubepressor #2 (screw com cubepressor) its works at 30/35 % of capacity. To rectify the problem cube the system cube has been filled with 3 cylinder of refrigerant R410A (135 Kg) which is less than 10% of the system cube capacity.
Incident recorded in RRB leak Log note # 42.",Other,Elim cubeination/Substitution,Shaft seal replaced
"On m cubearch 29 2019 at approxim cubeately 10:15 Am cube a leak was detected on A/C COm cubePRESSOR N� 4 from cube Nut loose high discharge m cubeanom cubeeter.
The nut was tightened. At 10:30 Am cube no m cubeore leaks were detected. The System cube was refilled with 114 Kg of R134a",Other,Other Corrective Action,The nut was tightened and the system cube was refilled with 114 Kg of R134a.
On 02 Apr 2019 around 0100 hrs Fire Hydrant Valve no. 17 failed  causing 8.2 m cube3 of Sea Water flooding in the Pum cubep Room cube No. 3 Bilge.,Other,Engineering Control,Fire System cube Pum cubeps were stopped and section valves closed for replacing the valve. Fire Hydrant valve #17 was replaced in Pum cubep Room cube #3 on DK 0. .
"Leakage was found on Provision positive system cube #3 during m cubeorning daily inspection on 30th of m cubearch 2019 around 08:10 Am cube the oil and the freon was com cubeing from cube solenoid valve. 
All freon has been transferred to stand by com cubepressor #2 to keep all walk in fridges in the range.",Other,Other Corrective Action,Rem cubeoving the old solenoid valve and installing the new solenoid valve
WHILE IN PORT OF NASSAU THE EOW WAS GETTING READY FOR THE DEPARTURE m cubeANEUVER THE Pm cube2 FAILED THE TEST AND OPEN THE SUPPLY BREAKER,Other,Engineering Control,THE   Pm cube2 tripped due to a issue on phase C replaced the two pulse am cubeplifier cards  of the cubicle in alarm cube C1 lower thyristor m cubeodule PAF3 and PAF4
WHILE IN PORT OF NASSAU THE EOW WAS GETTING READY FOR THE DEPARTURE m cubeANEUVER THE Pm cube2 FAILED THE TEST AND OPEN THE SUPPLY BREAKER,Other,Engineering Control,THE   Pm cube2 tripped due to a issue on phase C replaced the two pulse am cubeplifier cards  of the cubicle in alarm cube C1 lower thyristor m cubeodule PAF3 and PAF4
"Fm cubem cube Gennaro m cubeiccio was calling for the fault of incinerator .
During the assessm cubeent we notice that the STBD screw was not m cubeoving .
When we open the m cubeotor and Gear we found that the shaft of the m cubeotor was broken .( please see the picture in attachm cubeent )
The ENVIRONm cubeENTAL Technician found   that was a Cable from cube pyrotechnic fire ( please see the picture in attachm cubeent ) that was blocking the screw and consequence of the force that the m cubeotor apply the shaft get broken .
A training whit the environm cubeental team cube has been carry out .
The cable will throw to solid waste .
All m cubey team cube work to fixed the m cubeotor and transm cubeission and the Incinerator was back in service the sam cubee m cubeorning .",Other,Other Corrective Action,training m cubeade to the Environm cubeental team cube and entertainm cubeent team cube  to separate the cable for pyrotechnics in the separate container
Upon review of the ENV 1301 A22 - Aerosol Liquid entries after 02-Jul-2018 till before 20-Oct-2018 are found m cubeissing,Other,Adm cubeinistrative Control,All the relevant logs related to ENV 1301 A22 - Hazardous Waste Generation/Transfer Log in the custody of the Environm cubeental Team cube Leaders were taken into custody and placed in the dedicated binder located in the Training Officer's office
Upon review of the ENV 1301 A22 - Aerosol Liquid entries after 02-Jul-2018 till before 20-Oct-2018 are found m cubeissing,Other,Adm cubeinistrative Control,All the relevant logs related to ENV 1301 A22 - Hazardous Waste Generation/Transfer Log in the custody of the Environm cubeental Team cube Leaders were taken into custody and placed in the dedicated binder located in the Training Officer's office
"While approaching m cubeiam cubei Pilot Station Pm cube #1 both breakers tripped.
CC and m cubeain Switchboard breakers and protection devices were checked on both sides. After that the unit has been recovered and able to energize it again without further problem cube to perm cubeit the ship to arrival in port.",Other,Warning/Safety System cubes and Devices,CC and m cubeain Switchboard breakers and protection devices were checked on both sides.
"While approaching m cubeiam cubei Pilot Station Pm cube #1 both breakers tripped.
CC and m cubeain Switchboard breakers and protection devices were checked on both sides. After that the unit has been recovered and able to energize it again without further problem cube to perm cubeit the ship to arrival in port.",Other,Warning/Safety System cubes and Devices,CC and m cubeain Switchboard breakers and protection devices were checked on both sides.
On April 2nd 2019 during m cubeaintenance work on a segm cubeent of black water piping system cube of Carnival Spirit 7.9 m cube� of black water were unintentionally discharged to the below bilge space. The m cubeaintenance work in progress was pertaining to the replacem cubeent of part of the piping system cube in aft sewage room cube port side in the delivery line from cube black water pum cubep to Treated Black water Tank m cube1.,Other,Other Corrective Action,See attached file CORRECTIVE ACTION
On the m cubearch 31st 2019 at 12:17:36 while the ship was docked in Ensenada the EWL received an em cubeergency call from cube the elevator #15. Following the call the Seto has been called to assess the issue and once he reached the elevator he found out the elevator was stuck between the deck 7 and deck 8 with som cubee guest inside. Once inform cubeed the Guests he was aware they were trapped inside he went to take the proper tools to rescue the Guests. At the sam cubee tim cubee he called the Bridge to inform cube of the situation and asking for securities as the Guests were agitated and noisy. He called the Ch. Eng. and E. Team cube Tm cubes for help. The first attem cubept to open the door at deck 8 was not successful as the door-opening block was not working so we were forced for the safety of the operation to lift by hand at the lift m cubeachinery room cube the elevator till the deck 9 where the opening of the external doors was possible.  Slowly the elevator car has been brought to the deck 9 and all Guests were outside at 12:54.,Other,,
On April 2 at 17:10 we had a 3 m cube3 fresh water leak in the bilges due to a broken PT on the galley circulating pum cubep,Other,Other Corrective Action,pum cubep stopped and valve closed and plugged the leak. thread was changed the next day.
On 06 Apr 2019 0.2 Kg of Freon R134a were used in ice cream cube m cubeachine Taylor located in lido deck m cubeidship. The gas used as a piping section of the delivery side of the com cubepressor was dam cubeaged and the Freon was unintentionally released.,Other,Other Corrective Action,The unit lost the total am cubeount of operational gas and shut down. Chief Refrigeration reported the event to EO including the am cubeount of Freon which was used to recharge the unit.
A plastic bag was found inside the Jet system cube ( black water/sewage system cube) from cube line com cubeing from cube Guest cabin.,Other,Engineering Control,The plastic bag was rem cubeoved by the Plum cubebing team cube onbaord and system cube was brought back in service.
"ALTERNATOR #5 m cubeEASURED LOW INSULATION ON SEVERAL PHASES FROm cube J.B. TO m cube.S.
SUSPECTED DETERIORATION OF THE CABLES INSULATION AND CONSEQUENT LOW INSULATION DUE TO THE AUTOm cubeATIC WATER m cubeIST RELEASE (HI-FOG)  WHICH WAS DESCRIBED WITH I.R. (CCLSHTEC201900008V) AND ASSOCIATED TO THE DG#6 T/C A m cubeAJOR FAILURE.",Other,,
On April 5th2019 the fuel change over of DG # 5 & 6 has not been com cubepleted before entering teh ECA area due to fire event in the engine space,Other,Other Corrective Action,Fuel changeover was conducted inside ECA before arriving in m cubeobile (due to Fire Safety response)
On April 5th2019 the fuel change over of DG # 5 & 6 has not been com cubepleted before entering teh ECA area due to fire event in the engine space,Other,Other Corrective Action,Fuel changeover was conducted inside ECA before arriving in m cubeobile (due to Fire Safety response)
"On the 9th April around 01:52 pm cube while the ship was docked in Cozum cubeel m cubeX the EO has been notified by the Bridge that som cubee passengers have lost som cubee papers while walking on the pier and due to the wind these papers have been lost into the sea. 
The Port agent has been advised to notify Port Authority (em cubeail attached)
�	Entry in the GRB has been done
�	Entry in the eLog has been done",Other,,
"On the 9th April around 01:52 pm cube while the ship was docked in Cozum cubeel m cubeX the EO has been notified by the Bridge that som cubee passengers have lost som cubee papers while walking on the pier and due to the wind these papers have been lost into the sea. 
�	The Port agent has been advised to notify Port Authority (em cubeail attached)
�	Entry in the GRB has been done
�	Entry in the eLog has been done",Other,,
On 9th April 2019 at around 03:50 pm cube while Carnival Breeze was anchored in Belize a Guest reported to a Security Officer that his sail and sign card fell accidentally into the water while he was on the water shuttle returning back to the ship. The card couldnt be retrieved from cube the water.,Other,Other Corrective Action,An entry was recorded in Napa E Log and Garbage Record Book for the m cubearpol Annex V Violation (copy attached).
On 9th April 2019 at around 03:50 pm cube while Carnival Breeze was anchored in Belize a Guest reported to a Security Officer that his sail and sign card fell accidentally into the water while he was on the water shuttle returning back to the ship. The card couldnt be retrieved from cube the water.,Other,Other Corrective Action,Shore side concerned personnel Port Agent (m cubes. Larissa Zetina) and Port Com cubem cubeissioner (m cubes. Shirlet m cubeartinez) were inform cubeed of the environm cubeental incident by the Environm cubeental Officer via em cubeail (see attachm cubeents). No further action was required.
"On the 10th April 2019  at 08.30 Am cube while the ship was at sea sailing in international waters we had refrigerant leaks on the  A/c  Com cubepressor N� 1   which has been  refilled with 2 bottle of Refrigerant  R  407 c .
One  Leak  where found on the  glass refrigerant level Com cubepressor N�1   leak was im cubem cubeediately stopped by the isolation valves and  cracked Pipe was welded refrigerant has been refilled in the A/c  Com cubepressor N� 1 Which was still  in service This is caused by  vibration.
Unit has been checked for other leaks  no leaks present see attached pictures for your reference.
Here as following the bottle listed with the total am cubeount  of refrigerant used.
           Full Bottle                   Em cubepty bottle               total charged
1)	79.80  Kg                    28.80   Kg                        51.      Kg
2)	80.8     Kg                    29.51   Kg                       51.29  Kg
                      Total  Am cubeOUNT   Refilled            102.29  Kg",Other,Elim cubeination/Substitution,leak was im cubem cubeediately stopped by the isolation valves and cracked Pipe was welded
"On the 10th April 2019  at 08.30 Am cube while the ship was at sea sailing in international waters we had refrigerant leaks on the  A/c  Com cubepressor N� 1   which has been  refilled with 2 bottle of Refrigerant  R  407 c .
One  Leak  where found on the  glass refrigerant level Com cubepressor N�1   leak was im cubem cubeediately stopped by the isolation valves and  cracked Pipe was welded refrigerant has been refilled in the A/c  Com cubepressor N� 1 Which was still  in service This is caused by  vibration.
Unit has been checked for other leaks  no leaks present see attached pictures for your reference.
Here as following the bottle listed with the total am cubeount  of refrigerant used.
           Full Bottle                   Em cubepty bottle               total charged
1)	79.80  Kg                    28.80   Kg                        51.      Kg
2)	80.8     Kg                    29.51   Kg                       51.29  Kg
                      Total  Am cubeOUNT   Refilled            102.29  Kg",Other,Elim cubeination/Substitution,leak was im cubem cubeediately stopped by the isolation valves and cracked Pipe was welded
"Non ODS Leak - R 134a 56.8 kg Refrigeration System cube System cube capacity 2000 kg Leak<10%
On 12th April 2019 at around 09:00 am cube while Carnival Breeze was outbound 12 nm cube from cube Baham cubeas baseline during the weekly leak search a refrigerant leak was detected by the Chief Refrigeration Officer from cube the safety valve (SV1) on A/C com cubepressor #1 located on deck C FWD port side (FR 232-244).",Other,Other Corrective Action,The broken safety valve was isolated and replaced with a new one (Spare Part ID: BR0073015). After the installation the new valve has been selected and tested.
"Non ODS Leak - R 134a 56.8 kg Refrigeration System cube System cube capacity 2000 kg Leak<10%
On 12th April 2019 at around 09:00 am cube while Carnival Breeze was outbound 12 nm cube from cube Baham cubeas baseline during the weekly leak search a refrigerant leak was detected by the Chief Refrigeration Officer from cube the safety valve (SV1) on A/C com cubepressor #1 located on deck C FWD port side (FR 232-244).",Other,Other Corrective Action,Relevant shore side personnel was inform cubeed of the environm cubeental incident by the Environm cubeental Officer via em cubeail (see attachm cubeent). An entry was recorded in Napa E Log and RRB (copy attached).
"Non ODS Leak - R 134a 56.8 kg Refrigeration System cube System cube capacity 2000 kg Leak<10%
On 12th April 2019 at around 09:00 am cube while Carnival Breeze was outbound 12 nm cube from cube Baham cubeas baseline during the weekly leak search a refrigerant leak was detected by the Chief Refrigeration Officer from cube the safety valve (SV1) on A/C com cubepressor #1 located on deck C FWD port side (FR 232-244).",Other,Other Corrective Action,Leak search with electronic leak detector was done and no m cubeore leak found. The system cube was refilled with 56.8 Kg of NON ODS Refrigerant 134a.
During the stay in port of Key West at approx 14:53 D/G 2 which was running with Diesel Oil (com cubeplaint fuel) unexpectedly stopped causing a blackout. At 14:55 D/G 6 has been started unsuccessful due to low fuel pressure (Diesel Oil) in all engines. At 15:30 D/G 6 has been started on HFO (Heavy Fuel Oil) for 15 m cubeinutes while the engineers were checking the reason of low pressure on the Diesel Oil line to the DD/GG. The problem cube was identified as wrong position of the fuel valve switch located in the Separator Room cube. The m cubeentioned switch has three positions ( suction from cube DO storage tank 9 - zero position - suction from cube DO service tank 3 ). The switch was found on zero position which in this case don't allowing to the DO to fed the engines.The switch has been positioned right away to take the suction from cube DO 3 and at 15:40 D/G 4 has been started with com cubepliance fuel (DO). Once we were checking that all the system cube are back to norm cubeal at 15:45 even the D/G 6 has been switched on Diesel Oil. 3rd Party Notified USCG Key West sector and Class,Other,Other Corrective Action,Fuel valve switch has been set to take suction from cube Service Diesel Oil tank # 3
I have been advised by Pool Supervisor Vitalii Ladokhin that while the Sanitation Officer with an assistant were on open Veranda deck # 11 aft collecting water sam cubeples to be analyzed in the lab ashore while opening the cooler box one paper sheet flew overboard due to wind blowing that tim cubee.,Other,Other Corrective Action,advised the sam cubepling team cube to take extra precaution and secure all item cubes to avoid blowing overboard
I have been advised by Pool Supervisor Vitalii Ladokhin that while the Sanitation Officer with an assistant were on open Veranda deck # 11 aft collecting water sam cubeples to be analyzed in the lab ashore while opening the cooler box one paper sheet flew overboard due to wind blowing that tim cubee.,Other,Other Corrective Action,advised the sam cubepling team cube to take extra precaution and secure all item cubes to avoid blowing overboard
On 18 April 2019 as part of recom cubem cubeendations included in EN000065 food waste system cube tanks #1 and #2 have been inspected in order to verify presence of any non-food item cubes in the tanks. Approxim cubeately 3 Kg of non-food item cubes including plastics paper m cubeetal objects and broken china have been found in the tanks.,Other,Other Corrective Action,All non-food item cubes have been taken out from cube the food tanks. Food tanks have been em cubeptied and cleaned.
On April 19 2019 @ 15:58 LT during the m cubeonthly operational test the flow switch for OWS m cubeahle was not reading.,Other,Other Corrective Action,New Flow switch has been replaced. It has been tested and found in good working condition.
"While reviewing the OTSI logs it was noted that for the below 3 system cube sm cubeall quantity (approxim cubeately 20 liters per week  total of 3 system cubes) of oil was drained and added to IOPPC sludge tank.
            Bow Thruster # 1
            Bow Thruster # 2
            Bow Thruster # 3
No entries for the sam cubee could be found in the Oil Record Book.",Other,Adm cubeinistrative Control,A copy of IR to be placed in the OTSI binder and ORB.
